,symbol,price_percent_change,price,price_change
0,XELB,1015.15,4.29,3.91
1,TNON,284.42,3.76,2.78
2,DM,99.12,4.52,2.25
3,GDHG,95.92,3.84,1.88
4,DATS,76.39,3.81,1.65
5,XHLD,53.57,2.15,0.75
6,RAY,51.54,1.97,0.67
7,POAI,50.0,1.68,0.56
8,ZYBT,39.14,8.07,2.27
9,HWH,36.99,2.0,0.54
10,FBRX,35.28,8.55,2.23
11,SAG,31.31,1.015,0.24
12,MKFG,30.79,4.29,1.01
13,PSTV,25.0,1.425,0.28
14,FUFU,24.33,5.55,1.09
15,AAME,22.86,1.72,0.32
16,SAIH,21.31,9.05,1.59
17,AQB,18.4,0.674,0.1
18,SAGT,17.54,3.35,0.5
19,SISI,17.49,1.12,0.17
