date_time,year,month,day,time
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
20250415_0931,2025,04,15,0931
