|Symbol|Name|Unnamed: 2|Price|Change|Change %|Volume|Avg Vol (3M)|Market Cap|P/E Ratio (TTM)|52 Wk Change %|52 Wk Range
|:------|:----|:----------|:-----|:------|:--------|:------|:------------|:----------|:---------------|:--------------|:-----------|
0|PLTR|Palantir Technologies Inc.||103.83 +20.09 (+23.99%)|20.09|+23.99%|228.64M|82.568M|236.527B|432.63|254.83%|
1|SPOT|Spotify Technology S.A.||621.77 +72.69 (+13.24%)|72.69|+13.24%|6.513M|2.695M|125.647B|177.14|127.99%|
2|GRAB|Grab Holdings Limited||5.11 +0.57 (+12.56%)|0.57|+12.56%|75.962M|34.733M|20.578B|-|37.58%|
3|IFNNY|Infineon Technologies AG||35.70 +3.72 (+11.63%)|3.72|+11.63%|86616|271133|48.406B|25.68|-7.29%|
4|SOUN|"SoundHound AI| Inc."||15.71 +1.47 (+10.32%)|1.47|+10.32%|52.354M|75.853M|6.179B|-|732.75%|
5|MP|MP Materials Corp.||24.47 +2.24 (+10.08%)|2.24|+10.08%|8.822M|2.97M|3.994B|-|34.32%|
6|ATI|ATI Inc.||63.72 +5.76 (+9.94%)|5.76|+9.94%|4.646M|1.392M|9.089B|24.51|44.39%|
7|FQVLF|First Quantum Minerals Ltd.||13.29 +1.17 (+9.65%)|1.17|+9.65%|17993|228076|11.087B|-|35.08%|
8|PBF|PBF Energy Inc.||30.35 +2.63 (+9.49%)|2.63|+9.49%|2.735M|2.094M|3.494B|-|-47.24%|
9|CLS|Celestica Inc.||131.98 +11.10 (+9.18%)|11.1|+9.18%|5.343M|3.148M|15.401B|36.56|232.45%|
10|DASTY|Dassault Systèmes SE||42.00 +3.52 (+9.15%)|3.52|+9.15%|21021|174567|56.238B|47.73|-17.81%|
11|SMCI|"Super Micro Computer| Inc."||29.16 +2.31 (+8.60%)|2.31|+8.60%|35.362M|69.744M|17.075B|13.38|-60.72%|
12|LANC|Lancaster Colony Corporation||180.96 +14.46 (+8.68%)|14.46|+8.68%|389508|133186|4.989B|28.72|-11.27%|
13|PDD|PDD Holdings Inc.||114.05 +8.81 (+8.37%)|8.81|+8.37%|12.991M|9.68M|158.389B|10.27|-18.28%|
14|XPEV|XPeng Inc.||16.99 +1.30 (+8.29%)|1.3|+8.29%|15.477M|11.593M|15.986B|-|86.12%|
15|AXTA|Axalta Coating Systems Ltd.||38.01 +2.90 (+8.26%)|2.9|+8.26%|4.803M|1.721M|8.289B|23.76|7.86%|
16|GBOOF|"Grupo Financiero Banorte| S.A.B. de C.V."||7.23 +0.55 (+8.23%)|0.55|+8.23%|198800|23738|20.339B|7.45|-32.96%|
17|AI|"C3.ai| Inc."||33.77 +2.56 (+8.20%)|2.56|+8.20%|5.133M|7.847M|4.359B|-|20.83%|
18|CLF|Cleveland-Cliffs Inc.||10.52 +0.78 (+8.01%)|0.78|+8.01%|13.61M|14.745M|5.196B|-|-50.76%|
